brain	heart	kidney	liver
MGP_PahariEiJ_G0008764	0	0	0	0.443648
MGP_PahariEiJ_G0008766	5.235712	4.195363	5.32635	4.144405
MGP_PahariEiJ_G0008768	0	0	1.103122	0
MGP_PahariEiJ_G0008770	1.036785	0	0	0
MGP_PahariEiJ_G0008771	0.9314955	0.2985961	0.8003222	0
MGP_PahariEiJ_G0008772	0	0.776109	3.086106	2.930794
MGP_PahariEiJ_G0008777	0.5527459	0.4056232	1.137851	0
MGP_PahariEiJ_G0008778	0.5349202	0.2093236	0.8961253	0
MGP_PahariEiJ_G0008779	0.5885801	0.7896608	0.714242	0
MGP_PahariEiJ_G0008780	2.378564	1.190394	1.111485	0
MGP_PahariEiJ_G0008781	0.9824727	0.4292249	1.166754	0
MGP_PahariEiJ_G0008785	0	0.8980589	0	0.7533187
MGP_PahariEiJ_G0008786	1.595437	1.256836	2.097068	0.6318744
MGP_PahariEiJ_G0008787	0	0.9457852	1.701318	0
MGP_PahariEiJ_G0008788	1.396253	0.6677069	2.854151	0
MGP_PahariEiJ_G0008792	0.2752646	0	0	0
MGP_PahariEiJ_G0008794	0	7.729974e-09	0	0
MGP_PahariEiJ_G0008795	0	0.6018962	0	0
MGP_PahariEiJ_G0008796	0	0.488696	1.001528	0
MGP_PahariEiJ_G0008798	1.55563	0	0	0
MGP_PahariEiJ_G0008800	0.8612495	1.234133	2.370312	0.9787711
MGP_PahariEiJ_G0008801	0.8547705	0.6465028	0.9592152	0.3792117
MGP_PahariEiJ_G0008802	0.9169673	0.2748616	1.396549	0
MGP_PahariEiJ_G0008804	0.6621909	0	1.723781	0
MGP_PahariEiJ_G0008806	0.9677434	1.593024	2.209372	0.3368227
MGP_PahariEiJ_G0008807	0	0	0	0.6375722
MGP_PahariEiJ_G0008812	0.8615108	0	0	0
MGP_PahariEiJ_G0008815	2.932203	3.674596	4.176762	4.028118
MGP_PahariEiJ_G0008817	2.825116	0	0.5208064	0
MGP_PahariEiJ_G0008819	2.564217	0	0	0
MGP_PahariEiJ_G0008820	0.6806286	0	3.146673	0
MGP_PahariEiJ_G0008821	0.2211285	0.1608105	0.8834065	0.1480269
MGP_PahariEiJ_G0008822	0	0	0.3672671	0
MGP_PahariEiJ_G0008825	6.862166	5.32607	5.911831	4.620369
MGP_PahariEiJ_G0008827	0	0.5092884	1.722999	0
MGP_PahariEiJ_G0008828	0	1.701407	0	0
MGP_PahariEiJ_G0008829	0	0	0.0002034691	6.111212e-07
MGP_PahariEiJ_G0008830	0	0	0.9484491	0.559759
MGP_PahariEiJ_G0008831	1.611158	0	0.5217443	0.2865299
MGP_PahariEiJ_G0008832	0.5463636	3.105026	0.2598052	0.204922
MGP_PahariEiJ_G0008834	4.110271	2.456856	5.636477	1.23252
MGP_PahariEiJ_G0008835	0	0.4044596	0	0
MGP_PahariEiJ_G0008836	3.077633	1.624129	3.088225	1.324183
MGP_PahariEiJ_G0008837	0.5808334	0.9257071	0.39669	0
MGP_PahariEiJ_G0008838	1.183156	0	2.103394	0
MGP_PahariEiJ_G0008839	0.1411607	0	0	0
MGP_PahariEiJ_G0008842	0	0.1627862	0	0
MGP_PahariEiJ_G0008843	0	0.5047455	0	0
MGP_PahariEiJ_G0008848	0.2269228	0.1619638	1.060248	0.1495963
MGP_PahariEiJ_G0008851	1.485875	0.373176	2.018517	0.3624643
MGP_PahariEiJ_G0008852	0	0	0	0.104111
MGP_PahariEiJ_G0008853	0.4085282	0	0	0
MGP_PahariEiJ_G0008854	0.2334439	0	0.2963258	0
MGP_PahariEiJ_G0008856	2.763205	0.7636444	0	0.7045701
MGP_PahariEiJ_G0008858	3.311239	1.554363	2.769334	1.114307
MGP_PahariEiJ_G0008860	1.740289	0.4916705	2.247132	0.8132899
MGP_PahariEiJ_G0008861	2.330458	2.305956	2.52713	2.519529
MGP_PahariEiJ_G0008862	0.7723823	0	0	0
MGP_PahariEiJ_G0008866	1.771032	0.2424525	1.940073	1.104659
MGP_PahariEiJ_G0008868	0.1966574	0	0.2486247	0
MGP_PahariEiJ_G0008869	0	0.0753849	0.2561363	0
MGP_PahariEiJ_G0008870	0.7784374	0	0	0
MGP_PahariEiJ_G0008871	0	0.6541963	0	0.6023486
MGP_PahariEiJ_G0008876	0	0.2075718	1.542506	0
MGP_PahariEiJ_G0008879	2.056001	0.3757379	2.181796	0.5308348
MGP_PahariEiJ_G0008883	3.053252	3.570159	3.794333	3.854843
MGP_PahariEiJ_G0008885	0.7871976	0	2.267221	0
MGP_PahariEiJ_G0008886	1.419129	0.3806297	0.6226858	0
MGP_PahariEiJ_G0008887	8.616556	9.955186	9.301595	8.239298
MGP_PahariEiJ_G0008888	0.7933	0.7536756	0.8699732	0.2730862
MGP_PahariEiJ_G0008889	1.465332	0.2901271	0	2.508946
MGP_PahariEiJ_G0008891	0.4593781	0	0	0
MGP_PahariEiJ_G0008892	0	0	0.7867987	0
MGP_PahariEiJ_G0008893	3.036176	1.648475	2.873876	1.394761
MGP_PahariEiJ_G0008894	3.115929	1.180231	2.779732	1.146179
MGP_PahariEiJ_G0008895	2.381289	1.717114	2.358889	0.7564401
MGP_PahariEiJ_G0008896	8.558153	5.558497	5.474277	4.711313
MGP_PahariEiJ_G0008897	0	0	1.346015	0
MGP_PahariEiJ_G0008898	1.816637	0.9260192	2.346103	0.4987237
MGP_PahariEiJ_G0008900	0.8267563	0	0.9726338	0
MGP_PahariEiJ_G0008902	1.611531	0.7902249	1.848145	0.5907333
MGP_PahariEiJ_G0008903	1.796747	0	1.791331	0
MGP_PahariEiJ_G0008904	3.206335	0	2.701247	1.90547
MGP_PahariEiJ_G0008905	0	0	0.9230845	0
MGP_PahariEiJ_G0008906	0.5902743	0	0	0
MGP_PahariEiJ_G0008910	0	0	0.2833209	0
MGP_PahariEiJ_G0008911	0	0.08030537	0	0
MGP_PahariEiJ_G0008912	0	0	0.5321544	0
MGP_PahariEiJ_G0008915	1.2902	0.3315975	0	0
MGP_PahariEiJ_G0008916	3.224364	0	0	0
MGP_PahariEiJ_G0008919	0	0	1.057533	0
MGP_PahariEiJ_G0008920	0.7858468	0.1722648	0.9474096	0.4296867
MGP_PahariEiJ_G0008931	2.800914	1.064538	2.769048	0.5821504
MGP_PahariEiJ_G0008933	1.93466	0.8559028	0	0
MGP_PahariEiJ_G0008937	1.726217	0.7218993	0	0.3868165
MGP_PahariEiJ_G0008938	1.076025	0	0	0
MGP_PahariEiJ_G0008940	3.753647	2.595148	6.990807	6.99312
MGP_PahariEiJ_G0008942	2.022996	1.98506	3.842929	0.7382879
MGP_PahariEiJ_G0008947	0	2.707383	0	1.358751
MGP_PahariEiJ_G0008948	0.3495012	0	0.4344494	0
MGP_PahariEiJ_G0008949	0.2633482	0	0.6028018	0
MGP_PahariEiJ_G0008957	0.9439806	0	2.811566	1.141465
MGP_PahariEiJ_G0008962	0	1.212407	0	0
MGP_PahariEiJ_G0008963	0.622176	2.048344	0.7652097	0.4337671
MGP_PahariEiJ_G0008964	5.97382	3.805767	4.863686	2.773553
MGP_PahariEiJ_G0008965	1.818388	0	2.173674	0.3045204
MGP_PahariEiJ_G0008966	0	0	0	0.1966159
MGP_PahariEiJ_G0008972	3.870769	4.497434	4.328578	2.753814
MGP_PahariEiJ_G0008974	0.7584243	0	0	0.5600859
MGP_PahariEiJ_G0008975	4.20454	2.390896	3.621349	0.7630571
MGP_PahariEiJ_G0008977	0.8610891	0.3651785	0	0.3406739
