kidney	liver	ovary	testis
ENSTRUG00000000362	5.1894475	2.6544625515	4.288472	1.166523
ENSTRUG00000000363	2.004888	0.585094494	2.054671	1.892368
ENSTRUG00000000364	0	5.2884963275	0	0
ENSTRUG00000000365	0	0	0.6026298	0
ENSTRUG00000000366	3.549066	1.1362602345	3.952874	3.71823
ENSTRUG00000000367	0.6947432	0.4155027175	0.8028855	0.2114409
ENSTRUG00000000368	2.1921465	1.155586147	1.445637	0.1421415
ENSTRUG00000000369	6.1261335	5.214842037	5.636865	5.200006
ENSTRUG00000000370	0	0	0.1447995	0.03067593
ENSTRUG00000000372	0.4979624	0	0.2020465	0.5179982
ENSTRUG00000000373	0	0.0557622445	5.351914	0.6442209
ENSTRUG00000000374	4.7189645	4.26273215	5.248349	1.143836
ENSTRUG00000000375	5.8721215	2.804175425	1.842488	0.123244
ENSTRUG00000000376	0	0.39987791	0.04637427	0.02835287
ENSTRUG00000000377	7.143633	2.691477506	3.212896	2.771459
ENSTRUG00000000378	5.9987695	4.401118999	5.898513	3.600617
ENSTRUG00000000379	4.3310405	3.1140543175	3.807609	0.9055465
ENSTRUG00000000380	3.6726805	2.8620796895	3.226592	0.5289566
ENSTRUG00000000381	0.2949665	0	1.78799	0
ENSTRUG00000000382	1.7405115	0.4976511005	0	0
ENSTRUG00000000383	0.3479799	0.138691182	0	0
ENSTRUG00000000384	1.4211933	1.0672566965	3.270858	0.0611477
ENSTRUG00000000385	1.257479	0.746736567	1.493489	0.07857059
ENSTRUG00000000386	5.982694	1.824076413	5.124257	3.431916
ENSTRUG00000000387	0	0	0.7821468	0.07516388
ENSTRUG00000000388	1.91273	0.7078966925	1.738011	0.2686787
ENSTRUG00000000389	3.6144245	0.847308099	3.610298	0.162473
ENSTRUG00000000390	0	0.5331430355	0	1.069379
ENSTRUG00000000391	0.055706765	0.241467088	0.2132994	0.07132115
ENSTRUG00000000392	5.5972965	3.8891489655	4.280325	2.15109
ENSTRUG00000000393	4.7951235	2.616873095	4.394323	3.097572
ENSTRUG00000000394	3.0960435	1.4057173035	2.346662	1.549497
ENSTRUG00000000395	0.9781969	0.2032520085	0	0
ENSTRUG00000000396	2.991462	1.339313273	4.949787	1.492099
ENSTRUG00000000397	5.4469745	1.4086136585	5.367044	3.432426
ENSTRUG00000000398	0.1851859	0.789544844	0.6606211	0.02498867
ENSTRUG00000000399	0.34209945	0.0106225195	3.777136	0.1433791
ENSTRUG00000000400	1.7154275	1.2029963495	0.9320793	0.2110921
ENSTRUG00000000401	2.546194	0.685595609	2.913096	0.1353492
ENSTRUG00000000402	5.181068	2.612685069	4.335026	1.710058
ENSTRUG00000000403	0.50485435	0.7288921535	1.535001	3.723647
ENSTRUG00000000404	0.7211549	0.4242169015	0.1133883	2.589579
ENSTRUG00000000405	3.1068965	1.4012787675	4.812133	1.090758
ENSTRUG00000000406	0.02982314	0	0.06438017	0.1421031
ENSTRUG00000000407	5.5361585	3.1854487035	7.56296	4.636091
ENSTRUG00000000408	8.692826	6.704355769	8.308571	5.492321
ENSTRUG00000000409	7.2226235	6.3884546015	7.834355	9.490362
ENSTRUG00000000410	4.1414595	3.095778247	4.854921	1.711613
ENSTRUG00000000411	4.9988905	3.868169866	4.741704	2.204463
ENSTRUG00000000412	2.9790505	2.3487867825	3.786073	2.231682
ENSTRUG00000000413	5.8878605	0	0	0
ENSTRUG00000000414	0.43899495	0.1099816945	0.860786	0.1210125
ENSTRUG00000000415	5.0299035	0.473039133	0.9045627	0.9111521
ENSTRUG00000000416	0.65064135	0.8159363195	0.9165386	0.755737
ENSTRUG00000000417	1.16794645	0.988717823	2.803482	0.1245679
ENSTRUG00000000418	2.2747075	0.767208983	1.934313	0
ENSTRUG00000000419	2.8588095	1.0488049825	3.950655	0
ENSTRUG00000000420	5.2411575	3.5805547955	5.180342	2.405763
ENSTRUG00000000421	0	0.5148786295	0	0
ENSTRUG00000000422	1.14256935	0	1.07945	0
ENSTRUG00000000423	4.8500725	1.671067716	4.435022	1.674822
ENSTRUG00000000424	4.8658045	3.301412744	5.83944	2.490066
ENSTRUG00000000425	4.482742	1.3561504145	3.673613	1.717324
ENSTRUG00000000426	2.1037645	0.682723882	2.252525	0.2947354
ENSTRUG00000000427	8.0639975	7.6531921565	3.756639	3.327427
