liver	ovary	testis
ENSAMEG00000000460	NA	2.304076	0.6347847
ENSAMEG00000000461	NA	0.1609228	0.132259
ENSAMEG00000000462	NA	0.8305296	2.835471
ENSAMEG00000000464	NA	5.10351	2.161388
ENSAMEG00000000465	NA	0.6804531	4.16804
ENSAMEG00000000466	NA	1.062571	0.6585058
ENSAMEG00000000467	NA	2.894622	4.018278
ENSAMEG00000000468	NA	0.1048884	2.23679
ENSAMEG00000000469	NA	2.749517	3.860705
ENSAMEG00000000470	NA	1.067811	2.904395
ENSAMEG00000000471	NA	5.198349	3.218879
ENSAMEG00000000473	NA	1.1692	3.756799
ENSAMEG00000000474	NA	0.7440784	2.643955
ENSAMEG00000000475	NA	1.631542	0.8897367
ENSAMEG00000000476	NA	4.874772	4.285802
ENSAMEG00000000477	NA	7.329079	9.075829
ENSAMEG00000000478	NA	3.078713	2.003626
ENSAMEG00000000479	NA	0	0.5355742
ENSAMEG00000000480	NA	5.190658	3.553066
ENSAMEG00000000481	NA	5.140701	3.016833
ENSAMEG00000000482	NA	0.1330679	0.6838563
ENSAMEG00000000483	NA	0.1455509	4.926977
ENSAMEG00000000484	NA	0.2609506	4.782466
ENSAMEG00000000485	NA	1.365172	1.486236
ENSAMEG00000000486	NA	3.38241	2.531209
ENSAMEG00000000487	NA	5.080538	4.88905
ENSAMEG00000000488	NA	4.701665	1.491027
ENSAMEG00000000489	NA	1.099928	1.831715
ENSAMEG00000000490	NA	4.249392	5.442084
ENSAMEG00000000491	NA	5.412257	4.261147
ENSAMEG00000000492	NA	3.812745	3.109912
ENSAMEG00000000493	NA	0.5120569	0
ENSAMEG00000000494	NA	8.208673	9.099698
ENSAMEG00000000495	NA	5.083218	5.006644
ENSAMEG00000000496	NA	2.672833	4.057996
ENSAMEG00000000497	NA	2.481105	0.7552004
ENSAMEG00000000498	NA	3.487962	2.945596
ENSAMEG00000000499	NA	2.977839	4.029091
ENSAMEG00000000500	NA	0	0.2398526
ENSAMEG00000000501	NA	3.301807	3.850349
ENSAMEG00000000502	NA	3.376438	0.9198069
ENSAMEG00000000503	NA	4.296252	1.327578
ENSAMEG00000000504	NA	4.056393	1.94484
ENSAMEG00000000505	NA	2.246223	0.7084645
ENSAMEG00000000506	NA	3.307777	3.684044
ENSAMEG00000000507	NA	4.239322	6.846957
ENSAMEG00000000508	NA	3.713135	1.006671
ENSAMEG00000000509	NA	2.873416	1.129751
ENSAMEG00000000510	NA	3.484177	0.2292815
ENSAMEG00000000511	NA	0.6766312	1.089742
ENSAMEG00000000512	NA	6.27651	4.012444
ENSAMEG00000000513	NA	0.9634919	0
ENSAMEG00000000514	NA	0.09523703	1.759113
ENSAMEG00000000515	NA	2.24749	1.605812
ENSAMEG00000000516	NA	6.368571	5.835166
ENSAMEG00000000517	NA	5.284025	3.247897
ENSAMEG00000000518	NA	1.783591	0.8656314
ENSAMEG00000000519	NA	4.775756	2.154382
ENSAMEG00000000520	NA	3.99237	3.860615
ENSAMEG00000000521	NA	1.900011	2.149146
ENSAMEG00000000522	NA	3.122799	1.11366
ENSAMEG00000000523	NA	0	3.975832
ENSAMEG00000000524	NA	5.777104	4.150048
ENSAMEG00000000525	NA	2.864406	1.055876
ENSAMEG00000000526	NA	7.576409	5.870885
ENSAMEG00000000527	NA	1.91224	0.5262632
ENSAMEG00000000528	NA	3.90271	2.213521
ENSAMEG00000000529	NA	1.409869	4.72531
ENSAMEG00000000530	NA	2.593688	0
ENSAMEG00000000531	NA	4.783043	2.687979
ENSAMEG00000000532	NA	2.821476	3.271963
ENSAMEG00000000533	NA	5.548434	6.034128
ENSAMEG00000000534	NA	4.631966	0.9604702
ENSAMEG00000000535	NA	5.825353	1.429327
ENSAMEG00000000536	NA	0.05539712	5.234635
