brain	heart	kidney	liver
ENSRBIG00000002318	3.074037	3.247674	3.836271	3.604576
ENSRBIG00000002322	0.6697806	3.209397	3.638781	1.273796
ENSRBIG00000002328	2.986294	0.9001392	1.326721	0.9798227
ENSRBIG00000002342	1.728312	6.593297	7.58108	6.040906
ENSRBIG00000002363	3.390435	0.01878812	0	0
ENSRBIG00000002383	0.5014656	0	0	0
ENSRBIG00000002384	3.441265	1.069789	0.4683633	0.3148612
ENSRBIG00000002422	4.871271	5.396089	6.008302	5.336447
ENSRBIG00000002426	1.201343	3.088463	3.901827	4.709189
ENSRBIG00000002437	7.406043	0	2.51544	0.8041758
ENSRBIG00000002438	4.585285	6.616324	7.920699	6.964685
ENSRBIG00000002463	5.565152	5.822123	5.865535	4.06156
ENSRBIG00000002464	0.280132	0.2230345	0.7627936	1.206656
ENSRBIG00000002471	5.362751	5.190918	5.91504	3.848617
ENSRBIG00000002472	3.710281	3.625922	3.383709	2.389323
ENSRBIG00000002473	0.04030317	0.02453046	5.87985	0
ENSRBIG00000002485	7.323163	4.949787	4.233129	2.579919
ENSRBIG00000002486	6.256488	5.866943	5.085607	3.127561
ENSRBIG00000002487	6.849687	4.461699	6.176901	5.28694
ENSRBIG00000002509	2.391284	4.36419	4.131851	3.324381
ENSRBIG00000002512	0.4455201	0.4025563	1.181357	0.5273486
ENSRBIG00000002513	0	0	0.8522106	0
ENSRBIG00000002514	1.960593	0.9515266	0.9355344	0.5443993
ENSRBIG00000002546	4.173994	2.161626	2.455437	2.000833
ENSRBIG00000002568	6.257901	6.84607	5.801106	5.920893
ENSRBIG00000002570	5.758143	3.450125	5.191334	4.394864
ENSRBIG00000002583	2.443044	5.177818	5.808225	4.787166
ENSRBIG00000002587	3.967344	3.097865	3.005524	1.842412
ENSRBIG00000002606	0	0.8611097	4.540325	3.100041
ENSRBIG00000002616	3.635882	1.125003	3.581773	1.807157
ENSRBIG00000002621	3.702447	0.5349082	2.625065	1.343232
