heart	kidney	liver
ENSDNOG00000001017	0.3394179	0.4466956	0.7865094
ENSDNOG00000001021	1.052868	2.461099	1.612669
ENSDNOG00000001024	0.5942676	3.972354	3.021716
ENSDNOG00000001032	7.056204	7.729444	7.647214
ENSDNOG00000001034	1.438618	2.729618	2.224602
ENSDNOG00000001035	2.840477	0.2388688	1.04902
ENSDNOG00000001037	2.763503	4.27418	5.149918
ENSDNOG00000001038	2.583153	3.821169	3.802276
ENSDNOG00000001039	0.9274558	2.959674	4.113291
ENSDNOG00000001042	0.2453095	0.2380005	0.7640208
ENSDNOG00000001046	0	0.174896	0
ENSDNOG00000001047	2.912621	3.00292	3.022029
ENSDNOG00000001048	0.4989422	1.11448	2.357504
ENSDNOG00000001053	5.900811	5.779809	4.985956
ENSDNOG00000001068	0.1517731	1.492627	1.663732
ENSDNOG00000001069	0.538114	0.8718697	0.9980164
ENSDNOG00000001071	0.9075176	3.047636	2.471674
ENSDNOG00000001072	0.2602666	0.4591483	0.3121993
ENSDNOG00000001074	1.173722	0.6942901	4.56234
ENSDNOG00000001075	2.374123	4.922832	3.518485
ENSDNOG00000001077	0	4.795383	0.1882325
ENSDNOG00000001079	0.3045262	1.209173	1.375829
ENSDNOG00000001081	0.5031726	2.338382	2.745554
ENSDNOG00000001082	1.026148	5.496168	5.195863
ENSDNOG00000001083	0.3913993	0.8034916	1.689451
ENSDNOG00000001086	2.7267	2.679003	0.05020676
ENSDNOG00000001091	0.842534	1.595695	2.32757
ENSDNOG00000001092	0	0.7103756	0.06122555
ENSDNOG00000001095	3.9331	4.700001	4.634802
ENSDNOG00000001098	0.1137812	0.3603429	0.08831843
ENSDNOG00000001100	0.2259881	0.6038596	1.069523
ENSDNOG00000001108	0.3682744	0.1025575	0
ENSDNOG00000001110	0.09732385	0.3641936	0.2295215
ENSDNOG00000001111	0.8047243	3.575518	5.619008
ENSDNOG00000001112	0.0462938	0.04859291	0.07650779
ENSDNOG00000001116	2.391798	4.526476	4.52702
ENSDNOG00000001119	0.3142023	0.5484149	0
ENSDNOG00000001120	0	1.522453	0
ENSDNOG00000001124	0.9982201	3.599639	2.453507
ENSDNOG00000001126	2.707637	5.074531	4.09713
ENSDNOG00000001127	5.64499	6.065639	5.63814
ENSDNOG00000001128	0.677271	1.696848	1.639667
ENSDNOG00000001129	1.034519	5.136319	2.001355
ENSDNOG00000001130	3.807479	5.595665	4.859065
ENSDNOG00000001131	0.9634926	2.753705	2.068506
ENSDNOG00000001133	1.326951	3.419233	2.771951
ENSDNOG00000001134	2.624194	4.091818	3.976978
ENSDNOG00000001136	0	0.7527477	0.9427479
ENSDNOG00000001137	0.7567697	1.567029	1.380419
ENSDNOG00000001142	3.022666	1.95924	2.789151
ENSDNOG00000001144	1.132649	3.3433	4.636108
ENSDNOG00000001150	2.629294	3.549238	4.796105
ENSDNOG00000001152	0.297101	0.643835	0.5972651
ENSDNOG00000001153	1.072908	2.475199	2.753874
ENSDNOG00000001154	0.3146455	0.2250663	0
ENSDNOG00000001155	0.0956289	0.5437364	0.4512254
ENSDNOG00000001157	0	0.5796754	0.3613349
ENSDNOG00000001159	0.2460931	0.4201051	0.2135302
ENSDNOG00000001166	0.1103342	0.6373663	1.1595
ENSDNOG00000001167	2.672851	4.265692	3.768915
ENSDNOG00000001169	1.162113	1.659906	1.716916
ENSDNOG00000001170	0.2702203	0	0.2293467
ENSDNOG00000001172	1.487095	1.931456	1.967921
ENSDNOG00000001173	1.751164	3.891475	3.178395
ENSDNOG00000001174	3.753536	4.799062	5.070441
ENSDNOG00000001176	4.820051	6.774365	5.534703
ENSDNOG00000001180	3.580423	4.821032	5.911495
ENSDNOG00000001189	2.465998	3.596446	4.832956
ENSDNOG00000001193	0	0.6390626	0
ENSDNOG00000001199	0.308195	0.844597	0.9115887
ENSDNOG00000001204	0	3.257388	4.731982
ENSDNOG00000001205	7.681829	8.465726	7.213901
ENSDNOG00000001206	0	0.5275128	0
ENSDNOG00000001209	1.123221	2.254256	2.465998
ENSDNOG00000001211	0.623232	1.271306	0.7890264
ENSDNOG00000001216	0.9930265	2.163524	1.977767
ENSDNOG00000001217	0.7829486	1.245076	1.934698
ENSDNOG00000001222	0.5305492	1.511073	1.589524
ENSDNOG00000001224	0.06764643	1.577605	0.6774992
ENSDNOG00000001225	0.7569123	1.899605	1.579809
ENSDNOG00000001227	1.967331	3.505586	3.286764
ENSDNOG00000001230	0	1.442009	0.2813137
ENSDNOG00000001231	0	0.3405657	0.2719037
ENSDNOG00000001232	1.726513	2.919075	3.334275
ENSDNOG00000001236	0.433093	2.131738	2.61282
ENSDNOG00000001240	0.3638663	0.5479423	0.4393816
ENSDNOG00000001242	1.742601	1.285953	2.61925
ENSDNOG00000001243	0	6.62764	6.571393
ENSDNOG00000001244	0	6.564366	7.837748
ENSDNOG00000001246	4.611869	5.678393	4.702635
ENSDNOG00000001251	0.3986579	2.346736	3.009688
ENSDNOG00000001253	1.659369	2.200759	2.345728
ENSDNOG00000001256	1.719446	1.298805	0
ENSDNOG00000001258	0.07368576	0.2593665	0.1817666
ENSDNOG00000001259	3.570524	4.986229	5.053663
ENSDNOG00000001261	1.298494	2.828055	2.954137
ENSDNOG00000001265	1.927548	2.607023	2.696459
ENSDNOG00000001274	0.8902428	2.12447	1.158137
ENSDNOG00000001276	5.13629	0.7978207	0.7158284
ENSDNOG00000001277	0.8052718	2.235408	1.725746
ENSDNOG00000001282	2.784745	5.316095	5.401347
ENSDNOG00000001287	0.8137898	1.802305	2.428611
ENSDNOG00000001292	0.1525858	2.247171	0.7474708
ENSDNOG00000001293	1.022453	2.178494	1.782305
ENSDNOG00000001297	1.170226	0.5561881	4.209344
ENSDNOG00000001298	0.2054376	1.681827	0.3602957
ENSDNOG00000001300	0.2900197	0.5759803	0.3135849
ENSDNOG00000001301	1.176884	2.292855	1.767752
ENSDNOG00000001304	0.1159847	0.105401	0
ENSDNOG00000001305	4.125949	6.943816	6.42317
ENSDNOG00000001310	1.762289	3.107569	2.103078
ENSDNOG00000001312	1.810443	3.313032	2.975623
ENSDNOG00000001313	0	0	0.1289151
ENSDNOG00000001315	1.9208	2.066802	2.033747
ENSDNOG00000001319	0.05971078	0	5.131869
ENSDNOG00000001321	1.476136	3.213912	2.080265
ENSDNOG00000001325	0	1.392488	0
ENSDNOG00000001326	1.153027	3.289263	4.143761
ENSDNOG00000001329	2.376096	3.448243	2.302938
ENSDNOG00000001330	4.502579	3.949694	3.782272
ENSDNOG00000001334	0.1663671	0.248111	1.029107
ENSDNOG00000001336	1.861634	2.299227	2.682868
ENSDNOG00000001337	1.152534	2.46541	3.007617
ENSDNOG00000001339	0.4648648	0.9227428	1.593483
ENSDNOG00000001340	1.465133	2.1182	2.113077
ENSDNOG00000001342	9.337887	0.7491764	0.4217603
