brain	liver	testis
ENSTBEG00000000332	0	0	NA
ENSTBEG00000000333	3.822303	2.40103675	NA
ENSTBEG00000000334	0	0	NA
ENSTBEG00000000335	0.3790536	0	NA
ENSTBEG00000000336	0	0	NA
ENSTBEG00000000337	3.503325	1.9099435	NA
ENSTBEG00000000338	4.4994735	3.196465	NA
ENSTBEG00000000339	0.91376845	0.3800055	NA
ENSTBEG00000000340	1.4753251	0.2639611	NA
ENSTBEG00000000341	2.373179	1.0242993	NA
ENSTBEG00000000342	0	0	NA
ENSTBEG00000000343	4.5357105	0.564492775	NA
ENSTBEG00000000344	0.3630793	0.0059965325	NA
ENSTBEG00000000345	2.66156	0.974897125	NA
ENSTBEG00000000346	2.594233	0.90162935	NA
ENSTBEG00000000347	0.293059	0	NA
ENSTBEG00000000348	2.7056995	6.77686325	NA
ENSTBEG00000000349	1.803762	0.062916895	NA
ENSTBEG00000000350	0.1799626	0.083074495	NA
ENSTBEG00000000351	0.92884785	0.4027775	NA
ENSTBEG00000000352	0	0	NA
ENSTBEG00000000353	2.3521615	0	NA
ENSTBEG00000000354	5.293797	0.0041404825	NA
ENSTBEG00000000355	6.5543365	5.2432025	NA
ENSTBEG00000000356	4.238972	3.5221065	NA
ENSTBEG00000000357	6.9783085	7.0168175	NA
ENSTBEG00000000358	0	0	NA
ENSTBEG00000000359	5.97401	5.2081425	NA
ENSTBEG00000000360	3.5413875	2.8451595	NA
ENSTBEG00000000361	2.5253495	3.78847525	NA
ENSTBEG00000000362	4.8440695	3.29889125	NA
ENSTBEG00000000363	2.516986	1.24588325	NA
ENSTBEG00000000364	0.7005108	4.363315	NA
ENSTBEG00000000365	0	0	NA
ENSTBEG00000000366	4.896732	3.28405175	NA
ENSTBEG00000000367	3.3422495	2.83933375	NA
ENSTBEG00000000368	5.3197375	6.73252925	NA
ENSTBEG00000000369	1.860882	0.85217895	NA
ENSTBEG00000000370	0	0	NA
ENSTBEG00000000371	1.923039	2.55476	NA
ENSTBEG00000000372	3.4580035	1.569375775	NA
ENSTBEG00000000373	0	0	NA
ENSTBEG00000000374	1.7175245	3.01408325	NA
ENSTBEG00000000375	0	1.11108975	NA
ENSTBEG00000000376	3.658906	5.63758025	NA
ENSTBEG00000000377	2.92959	3.06677125	NA
ENSTBEG00000000378	2.186507	1.52146675	NA
ENSTBEG00000000379	6.856884	1.263033	NA
ENSTBEG00000000380	0.24775765	0.510275075	NA
ENSTBEG00000000381	5.180659	0	NA
ENSTBEG00000000382	3.706038	0.886446025	NA
ENSTBEG00000000383	2.798322	3.3004635	NA
ENSTBEG00000000384	0	0	NA
ENSTBEG00000000385	7.0506315	0.015745075	NA
ENSTBEG00000000386	2.895059	1.363555575	NA
ENSTBEG00000000387	0.11740885	0	NA
ENSTBEG00000000388	0.50123205	0	NA
ENSTBEG00000000389	5.2437245	4.790523	NA
ENSTBEG00000000390	7.63994	8.63392925	NA
ENSTBEG00000000391	1.7182995	2.12346875	NA
ENSTBEG00000000392	3.589128	3.02588225	NA
ENSTBEG00000000393	0.1498515	0	NA
ENSTBEG00000000394	3.5119035	2.69563725	NA
ENSTBEG00000000395	0	2.482361	NA
ENSTBEG00000000396	5.1203895	4.20646175	NA
ENSTBEG00000000397	0	0.04371855	NA
ENSTBEG00000000398	3.666991	3.61040175	NA
ENSTBEG00000000399	0	0	NA
ENSTBEG00000000400	3.130906	3.10831	NA
ENSTBEG00000000401	7.5041435	2.3066585	NA
ENSTBEG00000000402	0.62049155	0.25417165	NA
ENSTBEG00000000403	0	0	NA
ENSTBEG00000000404	5.540033	3.963823	NA
ENSTBEG00000000405	0.97110425	0.1395945875	NA
ENSTBEG00000000406	0.6410018	0.1096046175	NA
