kidney	liver
ENSLACG00000000598	2.751082323	5.999953
ENSLACG00000000599	0	2.289663
ENSLACG00000000600	1.045911211	3.25623
ENSLACG00000000601	1.308489026	0
ENSLACG00000000602	0	0
ENSLACG00000000603	0.701507361	3.930047
ENSLACG00000000604	3.19726624	5.743771
ENSLACG00000000605	0.411142018	2.305474
ENSLACG00000000606	1.868181022	4.246765
ENSLACG00000000607	0.688662892	0
ENSLACG00000000608	0	0
ENSLACG00000000609	0.193959676	0
ENSLACG00000000610	3.806952972	1.786253
ENSLACG00000000611	0.499097341	0
ENSLACG00000000612	1.563714596	1.380142
ENSLACG00000000613	0.354901205	0
ENSLACG00000000614	0.394221073	2.879022
ENSLACG00000000615	0.805477373	4.468284
ENSLACG00000000616	1.450907702	0
ENSLACG00000000617	0.513936371	0
ENSLACG00000000618	1.344686492	3.043719
ENSLACG00000000619	1.156144171	3.692516
ENSLACG00000000620	1.120172754	2.191613
ENSLACG00000000621	0.086549411	0
ENSLACG00000000622	1.969966419	1.979612
ENSLACG00000000623	2.90303827	0
ENSLACG00000000624	0.215198964	1.157555
ENSLACG00000000625	0	0
ENSLACG00000000626	0	0
ENSLACG00000000627	0	0
ENSLACG00000000628	0.500731701	2.057558
ENSLACG00000000629	0	0
ENSLACG00000000630	0.183453484	0
ENSLACG00000000631	0	3.28042
ENSLACG00000000632	0.260955428	1.574959
ENSLACG00000000633	3.053592734	2.419291
ENSLACG00000000634	0.084341617	0
ENSLACG00000000635	0.289762476	3.303611
ENSLACG00000000636	0	3.785446
ENSLACG00000000637	0	0
ENSLACG00000000638	3.292769972	0
ENSLACG00000000639	0.622859151	0
ENSLACG00000000640	1.81146692	2.234302
ENSLACG00000000641	0.99647263	5.459497
ENSLACG00000000642	0.189341313	0
ENSLACG00000000643	0.818190401	0
ENSLACG00000000644	0.226763753	0
ENSLACG00000000645	0.491481667	0
ENSLACG00000000646	2.216811808	3.722258
ENSLACG00000000647	0	0
ENSLACG00000000648	1.501923147	5.16549
ENSLACG00000000649	3.046948487	1.693922
ENSLACG00000000650	0	0
ENSLACG00000000651	0.820549879	3.234512
ENSLACG00000000652	0.448718092	0
ENSLACG00000000653	1.998578245	1.542615
ENSLACG00000000654	0.559515307	0
ENSLACG00000000655	0.425621505	0
ENSLACG00000000656	0.56642941	2.890929
ENSLACG00000000657	2.287324531	2.400497
ENSLACG00000000658	8.975415238	9.023461
ENSLACG00000000659	0	0
ENSLACG00000000660	0.338860224	0
ENSLACG00000000661	0.262927522	2.423976
ENSLACG00000000662	0.088453174	0
ENSLACG00000000663	0.357103785	2.072826
ENSLACG00000000664	0.24113727	0
ENSLACG00000000665	2.396329785	0
ENSLACG00000000666	0.377063763	0
ENSLACG00000000667	0.331825579	0
ENSLACG00000000668	0	0
ENSLACG00000000669	0	0
ENSLACG00000000670	0	2.21994
ENSLACG00000000671	0	0
ENSLACG00000000672	1.367331922	3.173359
ENSLACG00000000673	0	0
ENSLACG00000000674	0	0
ENSLACG00000000675	0.129790624	2.273152
ENSLACG00000000676	2.652578274	0
ENSLACG00000000677	2.130097292	2.033331
ENSLACG00000000678	0	0
ENSLACG00000000679	0	3.273276
ENSLACG00000000680	0	0
ENSLACG00000000681	0.065716229	0
ENSLACG00000000682	2.980367191	4.510734
ENSLACG00000000683	1.012454254	0
ENSLACG00000000684	0	0
ENSLACG00000000685	0.452841046	1.499823
ENSLACG00000000686	0	0
ENSLACG00000000687	1.119701453	0
ENSLACG00000000688	0.674306973	1.981601
ENSLACG00000000689	0.436165038	0
ENSLACG00000000690	0.260267792	1.252882
ENSLACG00000000691	0.326966411	0
ENSLACG00000000692	0.122488122	0
ENSLACG00000000693	0	1.5375
ENSLACG00000000694	0.148366674	3.023784
ENSLACG00000000695	0.487767246	0.6924209
ENSLACG00000000696	0.1546195	3.768491
ENSLACG00000000697	0.631085652	0
ENSLACG00000000698	0.653611301	0
ENSLACG00000000699	1.561702496	1.993859
ENSLACG00000000700	1.267787461	2.355631
ENSLACG00000000701	1.244564395	0
ENSLACG00000000702	0	0
ENSLACG00000000703	0	0
ENSLACG00000000704	1.78174578	3.593999
ENSLACG00000000705	0	0
ENSLACG00000000706	1.216293438	4.417652
ENSLACG00000000707	0.612038209	0
ENSLACG00000000708	2.539488887	3.521779
ENSLACG00000000709	0.119139408	0
ENSLACG00000000710	0.710734373	3.215731
ENSLACG00000000711	0	0
ENSLACG00000000712	0.460113459	5.394785
ENSLACG00000000713	0.352402609	0
ENSLACG00000000714	0	0
ENSLACG00000000715	0	0
ENSLACG00000000716	3.744796172	0
ENSLACG00000000717	0	0
ENSLACG00000000718	1.232097075	3.350163
ENSLACG00000000719	1.024418976	2.853373
ENSLACG00000000720	0.514457608	1.931233
ENSLACG00000000721	1.333772915	0
ENSLACG00000000722	0	0
ENSLACG00000000723	0.311446151	5.212694
ENSLACG00000000724	2.311930281	5.256701
ENSLACG00000000725	0.630725103	3.556
ENSLACG00000000726	0.623181395	2.79181
ENSLACG00000000727	0	0
ENSLACG00000000728	0.319420244	5.654017
ENSLACG00000000729	1.415244331	3.136953
ENSLACG00000000730	0.166525215	0
