brain	liver	ovary	testis
ENSMEUG00000000399	NA	4.309957008	NA	3.598806
ENSMEUG00000000400	NA	8.309340814	NA	0.2818798
ENSMEUG00000000401	NA	8.3977420995	NA	7.762907
ENSMEUG00000000402	NA	1.7267776995	NA	2.932732
ENSMEUG00000000403	NA	5.6061298045	NA	7.653648
ENSMEUG00000000404	NA	3.7482346945	NA	7.113492
ENSMEUG00000000405	NA	3.7645240475	NA	3.086432
ENSMEUG00000000406	NA	0.3825791255	NA	0.4169824
ENSMEUG00000000407	NA	6.43853008	NA	8.737781
ENSMEUG00000000408	NA	2.3301060955	NA	3.149996
ENSMEUG00000000409	NA	0.293266556	NA	0.1625929
ENSMEUG00000000410	NA	1.0485787655	NA	0.07309713
ENSMEUG00000000411	NA	7.8324457105	NA	3.277283
ENSMEUG00000000412	NA	2.1198548945	NA	0
ENSMEUG00000000413	NA	5.962179034	NA	3.345247
ENSMEUG00000000414	NA	2.1566008765	NA	4.46859
ENSMEUG00000000415	NA	0.058531655	NA	0
ENSMEUG00000000416	NA	6.557632309	NA	8.258316
ENSMEUG00000000417	NA	2.2695454215	NA	6.176546
ENSMEUG00000000418	NA	2.1564848525	NA	4.490994
ENSMEUG00000000419	NA	0	NA	0.7473066
ENSMEUG00000000420	NA	2.710178789	NA	1.384906
ENSMEUG00000000421	NA	7.3421542795	NA	7.494424
ENSMEUG00000000422	NA	0	NA	0
ENSMEUG00000000423	NA	1.1089689645	NA	10.01233
ENSMEUG00000000424	NA	2.083077839	NA	0.690873
ENSMEUG00000000425	NA	6.8435170465	NA	9.663547
ENSMEUG00000000426	NA	4.32883471	NA	6.236353
ENSMEUG00000000427	NA	0.5149076885	NA	1.599827
ENSMEUG00000000428	NA	3.2000980125	NA	3.023887
ENSMEUG00000000429	NA	4.9972502525	NA	7.845753
ENSMEUG00000000430	NA	0	NA	0
ENSMEUG00000000431	NA	3.6643573085	NA	3.470745
ENSMEUG00000000432	NA	3.5646759645	NA	0
ENSMEUG00000000433	NA	7.6297510715	NA	7.764361
ENSMEUG00000000434	NA	0.211016585	NA	0.869678
ENSMEUG00000000435	NA	0	NA	0
ENSMEUG00000000436	NA	5.2542413735	NA	6.124911
ENSMEUG00000000437	NA	1.495155157	NA	1.566041
ENSMEUG00000000438	NA	1.2085163405	NA	0.5839754
ENSMEUG00000000439	NA	0	NA	0.07618582
ENSMEUG00000000440	NA	0.6615608115	NA	0.5479561
ENSMEUG00000000441	NA	0	NA	0.2900952
ENSMEUG00000000442	NA	3.456767316	NA	4.36294
ENSMEUG00000000443	NA	0.2514548355	NA	3.960428
ENSMEUG00000000444	NA	0.5673974105	NA	0
ENSMEUG00000000445	NA	2.456197074	NA	1.025553
ENSMEUG00000000446	NA	2.9511391765	NA	3.290228
ENSMEUG00000000447	NA	0	NA	5.266442
ENSMEUG00000000448	NA	0.031755544	NA	0.08598585
ENSMEUG00000000449	NA	3.6678144685	NA	4.584836
ENSMEUG00000000450	NA	4.510693125	NA	4.669951
ENSMEUG00000000451	NA	4.6464853175	NA	4.876001
ENSMEUG00000000452	NA	0	NA	0
ENSMEUG00000000453	NA	4.3573128435	NA	2.406213
ENSMEUG00000000454	NA	0.068265213	NA	7.108943
ENSMEUG00000000455	NA	0	NA	0.1772404
ENSMEUG00000000456	NA	2.736136058	NA	4.074043
ENSMEUG00000000457	NA	0.0874991	NA	1.412809
ENSMEUG00000000458	NA	3.3057548385	NA	4.331798
ENSMEUG00000000459	NA	0	NA	0
ENSMEUG00000000460	NA	4.469322867	NA	5.270305
ENSMEUG00000000461	NA	1.212848331	NA	0.2609578
ENSMEUG00000000462	NA	2.4171821595	NA	0.1250345
ENSMEUG00000000463	NA	0.821672622	NA	3.370848
ENSMEUG00000000464	NA	3.4752121145	NA	3.408561
ENSMEUG00000000465	NA	4.0077283245	NA	5.379933
ENSMEUG00000000466	NA	0.0574360665	NA	2.163115
ENSMEUG00000000467	NA	0	NA	0
ENSMEUG00000000468	NA	1.172576922	NA	0.3416829
ENSMEUG00000000469	NA	5.66059323	NA	4.164046
ENSMEUG00000000470	NA	3.401014286	NA	5.742327
ENSMEUG00000000471	NA	0.01837692	NA	0.2269252
ENSMEUG00000000472	NA	6.162592132	NA	1.552338
ENSMEUG00000000473	NA	0	NA	4.247092
ENSMEUG00000000474	NA	3.5982748405	NA	5.386994
ENSMEUG00000000475	NA	4.0697898405	NA	6.3636
ENSMEUG00000000476	NA	4.08533739	NA	5.330752
ENSMEUG00000000477	NA	0.086443429	NA	0.1193
ENSMEUG00000000478	NA	8.2099127735	NA	8.01532
ENSMEUG00000000479	NA	1.6151002625	NA	1.818564
ENSMEUG00000000480	NA	0.751732641	NA	4.011066
ENSMEUG00000000481	NA	3.94140217	NA	3.569831
ENSMEUG00000000482	NA	1.753132586	NA	5.070759
ENSMEUG00000000483	NA	3.0318122215	NA	0.7865646
ENSMEUG00000000484	NA	1.618447957	NA	1.038513
ENSMEUG00000000485	NA	0	NA	0
