heart	kidney	liver	testis
ENSPPAG00000001381	1.19002	1.5240978205	1.2465735	2.137476
ENSPPAG00000001385	4.022692	3.139430411	2.817889	6.045543
ENSPPAG00000001386	0	0.09867605	0.0514187	1.869911
ENSPPAG00000001411	0	0	0	0
ENSPPAG00000001412	0.24072675	3.0693823635	0.07321031	1.159497
ENSPPAG00000001417	0	0	0	0
ENSPPAG00000001418	6.2075145	5.9100861035	5.526244	7.34907
ENSPPAG00000001483	0	0.2116567705	0	0
ENSPPAG00000001484	0	0	0	2.152388
ENSPPAG00000001485	2.546391	2.179894687	1.000149	3.412323
ENSPPAG00000001501	2.846255	2.523187821	1.9522275	2.454641
ENSPPAG00000001530	0	0	0	0
ENSPPAG00000001541	4.3294445	3.574773448	1.79475995	1.624148
ENSPPAG00000001543	0	0.7553745	0	0
ENSPPAG00000001545	0.06177205	0.3328682875	0.4622845	0.6021328
ENSPPAG00000001547	0	0	0	0
ENSPPAG00000001559	3.19364	3.445191903	3.233563	6.518466
ENSPPAG00000001576	0.94614285	2.171345416	1.0101987	1.756998
ENSPPAG00000001578	3.547588	3.8717202955	3.17622	6.330279
ENSPPAG00000001579	2.132137	3.4100290185	0	0
ENSPPAG00000001589	0.6429224	1.3822740125	0.73880385	4.146134
ENSPPAG00000001616	1.9402945	2.7298157555	1.537513	3.160835
ENSPPAG00000001617	0.39463545	0.3879673425	0.0608309	0
ENSPPAG00000001651	0.4294367	0.817421463	0.7138357	4.99298
ENSPPAG00000001652	4.596202	4.9792744075	5.4216035	5.960285
ENSPPAG00000001653	0.2322305	0.485177432	0.1996084	1.74884
ENSPPAG00000001675	0.1072317	0.167573656	0.16209885	3.318214
ENSPPAG00000001687	0.19719395	0.704667744	0.4070697	4.513742
ENSPPAG00000001688	2.3231	3.794662604	5.312297	2.570616
ENSPPAG00000001689	1.5749905	1.6009213285	1.187378	2.570953
ENSPPAG00000001710	3.468959	2.8556079935	2.2279085	4.533688
ENSPPAG00000001712	0	0	0	0
ENSPPAG00000001724	4.908997	6.2174419995	4.828651	7.547304
ENSPPAG00000001725	0.37982295	0	0	2.102551
ENSPPAG00000001726	1.2033462	1.851760761	1.963791	4.018137
ENSPPAG00000001747	0	0	0	0
ENSPPAG00000001750	3.350613	3.5756584975	4.21912	1.935765
ENSPPAG00000001775	2.193995	2.1453015445	2.1010415	3.608741
ENSPPAG00000001790	1.812966	1.5032489595	1.250057	3.651741
ENSPPAG00000001809	7.2395175	8.423250648	8.2893175	6.098316
ENSPPAG00000001810	1.1069855	2.0039594825	0.58792055	1.621267
ENSPPAG00000001811	0.7812725	0.9644644235	2.772681	4.734975
ENSPPAG00000001816	3.6195205	4.1805121525	4.103569	4.795559
ENSPPAG00000001818	3.522938	3.2518636215	3.110616	3.063898
ENSPPAG00000001828	2.5381	2.8968486425	1.974467	2.064759
ENSPPAG00000001847	2.283125	2.4907196815	1.2106415	5.038836
ENSPPAG00000001865	6.6079215	7.401316921	6.998409	6.262245
ENSPPAG00000001867	0.18762205	0.104614378	0.263109	1.117708
ENSPPAG00000001893	0	0	0	0
ENSPPAG00000001904	1.4799867	1.9925381295	1.575953	1.907421
ENSPPAG00000001905	0.09672607	0	0	5.924986
ENSPPAG00000001912	0.6358167	1.7321750165	1.3236485	1.798125
ENSPPAG00000001919	1.269005	2.5089190345	1.365904	3.192907
ENSPPAG00000001921	1.975928	2.082810089	1.961202	0.4163144
ENSPPAG00000001922	0	0	0	3.39471
ENSPPAG00000001924	1.705123	2.085408535	2.033352	2.073046
ENSPPAG00000001950	0	0	0.04572393	0.1473888
ENSPPAG00000001951	0	0	0	2.142057
ENSPPAG00000001970	2.1846185	2.2818161995	2.880333	5.044018
ENSPPAG00000001984	0	0.0853881305	0.12707085	0
ENSPPAG00000001985	0.23470805	0.2322091935	0	6.585829
