brain	heart	kidney	liver
ENSMNEG00000002232	3.40836104666667	0	0	0
ENSMNEG00000002237	0.746568333333333	0	0.8151426	0.4956522
ENSMNEG00000002243	3.43796422	1.158479	1.713098	3.28191
ENSMNEG00000002261	2.55905129	0.6288594	0.767776	0.3748714
ENSMNEG00000002265	3.11625859666667	2.215219	0	0
ENSMNEG00000002269	3.17269291333333	2.930397	3.690205	3.766235
ENSMNEG00000002270	0	0	0	0
ENSMNEG00000002275	4.36339921666667	3.629264	3.417665	4.14983
ENSMNEG00000002289	0.465074413333333	0.2088269	0.5374243	0
ENSMNEG00000002294	6.57122984333333	4.531394	3.918157	2.716708
ENSMNEG00000002302	7.58573584333333	6.045043	7.248876	6.713421
ENSMNEG00000002324	6.19559301333333	0.2203312	0.2130747	0
ENSMNEG00000002341	4.91975626	3.800962	4.959603	4.03514
ENSMNEG00000002343	6.98897205666667	6.864842	5.788746	4.549484
ENSMNEG00000002356	4.43595057	3.124223	2.894774	1.524174
ENSMNEG00000002368	0.117007	0.5017876	3.237252	1.959677
ENSMNEG00000002371	3.78592032666667	2.77865	2.784508	1.78927
ENSMNEG00000002374	3.62543759	2.225352	2.172033	1.352414
ENSMNEG00000002395	4.82596592	2.722141	3.383673	1.939629
ENSMNEG00000002396	3.47101646666667	6.001559	4.272077	7.758687
ENSMNEG00000002398	0.450914	0.9539364	3.219299	3.125239
ENSMNEG00000002400	2.90017442666667	0	2.759862	0
ENSMNEG00000002409	0.06421202	0	0.2847782	0
ENSMNEG00000002410	1.24460997	0	3.482474	3.650765
ENSMNEG00000002412	0.228011376666667	0	0	0
ENSMNEG00000002425	5.77246864333333	5.61922	5.897243	5.215084
ENSMNEG00000002426	1.48610840666667	7.164567	3.425087	2.251231
ENSMNEG00000002433	4.70990209	0	0	0
ENSMNEG00000002434	7.72676872	6.195413	7.259922	5.758167
ENSMNEG00000002442	5.15885540333333	4.900184	6.591567	5.073945
ENSMNEG00000002446	0.450216666666667	0	0.748548	0.5883364
ENSMNEG00000002452	4.07512638	4.447374	5.252033	4.170943
ENSMNEG00000002473	4.13974953666667	1.711006	0	0
ENSMNEG00000002474	7.02208255666667	2.998533	1.821702	1.261892
ENSMNEG00000002479	3.03518932666667	3.265803	3.691534	4.186318
ENSMNEG00000002491	3.93778970333333	1.743954	1.723213	0
ENSMNEG00000002512	4.36180424666667	3.489337	1.483519	0.2590856
ENSMNEG00000002513	1.17680596333333	0.3616886	0.6524167	0.403571
ENSMNEG00000002521	0	0.8058967	0	0
ENSMNEG00000002522	5.82602922333333	6.213306	2.935066	1.913351
ENSMNEG00000002528	0	0.4251585	0	0.3117286
ENSMNEG00000002543	4.00400066333333	2.512196	3.368963	2.554834
ENSMNEG00000002544	0	0	0	0
ENSMNEG00000002551	5.69941343	6.498588	6.409976	4.874586
ENSMNEG00000002565	0	0	0	0
ENSMNEG00000002570	2.10759623333333	0.6571369	0.883853	0.2430707
ENSMNEG00000002574	0	0	1.879153	0
ENSMNEG00000002576	1.74989381333333	0.3643158	0	0.6738684
ENSMNEG00000002596	2.88497039333333	3.910263	4.742696	3.705182
ENSMNEG00000002598	7.57432953333333	8.561735	8.182221	7.864576
