kidney	liver
ENSMICG00000001017	2.772236	1.04630688333333
ENSMICG00000001018	0.05848871	0.0572387116666667
ENSMICG00000001019	0.680508	0
ENSMICG00000001020	0	0.0197982483333333
ENSMICG00000001023	7.006126	4.99717116666667
ENSMICG00000001027	0.4304116	0.597038706666667
ENSMICG00000001029	4.153546	2.00956066666667
ENSMICG00000001030	3.929882	1.8904905
ENSMICG00000001032	3.135507	0.393849021666667
ENSMICG00000001034	0.3733141	0.108937566666667
ENSMICG00000001037	6.773023	5.69914183333333
ENSMICG00000001039	0.9028446	0.209058743333333
ENSMICG00000001040	5.157044	2.70510616666667
ENSMICG00000001043	3.449609	0.22780535
ENSMICG00000001044	2.899593	1.53034235
ENSMICG00000001045	0.1609163	0.00745835333333333
ENSMICG00000001049	4.453761	2.27516603333333
ENSMICG00000001050	3.37207	0.0223929916666667
ENSMICG00000001051	3.645427	0.111284583333333
ENSMICG00000001053	2.232665	0.00799127
ENSMICG00000001054	8.552485	2.04780191666667
ENSMICG00000001057	7.087876	3.0755385
ENSMICG00000001059	0.4640806	0.0688630166666667
ENSMICG00000001060	5.933699	2.60382016666667
ENSMICG00000001062	0.6257203	0.409388266666667
ENSMICG00000001063	1.15598	0.671885466666667
ENSMICG00000001065	6.751972	4.88303266666667
ENSMICG00000001067	5.146005	3.1481155
ENSMICG00000001068	6.775329	4.5610655
ENSMICG00000001069	7.67463	5.93543283333333
ENSMICG00000001070	4.146948	2.79444833333333
ENSMICG00000001073	3.381513	3.12303066666667
ENSMICG00000001075	5.1121	2.71438875
ENSMICG00000001076	6.404887	7.09439133333333
ENSMICG00000001077	5.527436	2.75091966666667
ENSMICG00000001078	8.685391	7.2066885
ENSMICG00000001079	5.503384	3.4243915
ENSMICG00000001081	3.618147	0.409467318333333
ENSMICG00000001083	7.261297	3.4636
ENSMICG00000001085	5.101808	3.6885775
ENSMICG00000001086	8.336543	6.63845366666667
ENSMICG00000001087	4.512422	2.7574765
ENSMICG00000001088	0.08720537	2.65318163333333
ENSMICG00000001091	0.6954193	0.0479557833333333
ENSMICG00000001092	6.08315	4.93850883333333
ENSMICG00000001098	0	0
ENSMICG00000001099	1.238646	0.368844068333333
ENSMICG00000001100	3.185184	1.19372711666667
ENSMICG00000001102	3.951254	3.6903715
ENSMICG00000001104	2.946851	0.422043333333333
ENSMICG00000001105	4.639532	5.04854916666667
ENSMICG00000001110	3.251021	0.8328307
ENSMICG00000001111	2.599334	1.28770101833333
ENSMICG00000001113	2.579373	1.20003043666667
