brain	kidney	liver	ovary	testis
ENSFDAG00000000654	5.387338	5.3276585	4.56701075	6.989743	5.7146665
ENSFDAG00000000659	5.325671	6.3003985	5.96752475	6.272919	6.646489
ENSFDAG00000000661	5.669205	0.58422395	0.19590649	0.49805005	2.072057
ENSFDAG00000000662	2.561011	3.67386425	3.25743275	1.707255	1.7223815
ENSFDAG00000000663	3.933138	3.9156275	3.0636935	3.8231745	5.8181555
ENSFDAG00000000664	6.765681	5.353975	5.521626	5.1689715	5.575011
ENSFDAG00000000667	0	0	0	0	0
ENSFDAG00000000672	4.587605	5.270583	4.31203775	4.5942345	4.9786665
ENSFDAG00000000673	4.770221	9.134619	8.27052025	7.081218	4.656053
ENSFDAG00000000674	1.6183	0.632858625	0.638523675	0.79760955	1.7185335
ENSFDAG00000000675	5.173379	4.67988675	3.12041925	5.004761	4.506342
ENSFDAG00000000676	4.114592	5.089316	5.46806575	5.267358	4.8910015
ENSFDAG00000000677	0.168316	0.093089475	0.073964475	0.319677155	0
ENSFDAG00000000678	4.326235	4.1263445	3.2424955	4.4407555	4.641332
ENSFDAG00000000679	0.1838473	0.190574185	0.05143409	2.4017165	1.6251785
ENSFDAG00000000681	0	0	0	0	0.33449625
ENSFDAG00000000686	0	0	0	0	0
ENSFDAG00000000687	4.188433	0.38958175	0	0	0.1029477
ENSFDAG00000000689	2.32256	1.795399175	2.89002225	4.1809875	3.125168
ENSFDAG00000000690	5.510206	4.83470425	4.17127225	4.838129	6.017042
ENSFDAG00000000692	0	0.0942529	0	0.3227129	0.27833495
ENSFDAG00000000695	3.392166	1.87877875	1.010384825	3.146017	1.8434195
ENSFDAG00000000697	5.190382	4.660249	4.34397025	5.117189	5.40986
ENSFDAG00000000703	1.053945	0	0	0	0.085067
ENSFDAG00000000704	0	0	0	0	0
ENSFDAG00000000706	0	0	0	0	0
ENSFDAG00000000707	0	1.196358175	0.055827825	0.19144925	1.847182
ENSFDAG00000000708	5.509182	5.27707425	2.851539	5.3058435	5.245816
ENSFDAG00000000709	4.051485	2.5505375	0.733255125	2.9056725	4.624551
ENSFDAG00000000715	1.501628	0.35590355	0.9073708	0.8641205	1.4136005
ENSFDAG00000000717	0.5866696	0.5237244	0.366695775	0.57872895	0.70289165
ENSFDAG00000000718	5.119755	5.885887	3.90515775	6.5248365	7.2268025
ENSFDAG00000000719	6.687257	4.841821	4.16507775	5.413228	5.4518215
ENSFDAG00000000721	0	0	0	0	0.2136138
ENSFDAG00000000722	5.954343	5.0365835	4.947184	5.215785	2.7805225
ENSFDAG00000000723	5.188346	4.483658	4.537724	4.854837	4.3920795
ENSFDAG00000000724	6.093457	5.3589665	6.45522125	5.5363565	6.2325335
ENSFDAG00000000725	4.877696	4.237164	3.61556425	4.996038	5.881437
ENSFDAG00000000726	5.175608	5.14526075	5.759992	6.1741415	6.6829745
ENSFDAG00000000728	4.537501	1.96973375	2.38755295	3.399837	3.0664
ENSFDAG00000000729	0	0.09516435	0.066361925	0.53084545	0.2876208
ENSFDAG00000000732	0	0	0	0	0.48634635
ENSFDAG00000000733	5.64202	1.95574125	0.506236575	5.55946	4.180347
ENSFDAG00000000737	1.205524	3.26026625	1.027247975	3.2071185	3.395196
ENSFDAG00000000738	3.924566	3.75031375	2.884418	4.048261	3.2086825
ENSFDAG00000000739	1.987263	3.79722525	3.13373	4.4803075	3.98358
ENSFDAG00000000740	5.527661	0.363689375	0.07651625	0.20148305	2.7422375
ENSFDAG00000000741	8.332381	8.94170075	7.305332	9.3267965	7.164298
ENSFDAG00000000742	3.726363	4.2658115	3.82446125	4.5484245	5.5939675
ENSFDAG00000000743	1.720515	1.05566855	0.4606138	1.9501905	4.279988
ENSFDAG00000000745	1.721062	2.8617675	3.18479475	5.2883805	3.5372045
ENSFDAG00000000748	0.1558256	0	0	0	0.50805275
ENSFDAG00000000749	4.438559	3.41303175	3.19087225	4.672297	4.275494
ENSFDAG00000000751	0.5682014	7.40493175	7.9501165	1.2178831	1.5976545
