brain	testis
ENSTGUG00000000380	0.832723955555556	0.5120122
ENSTGUG00000000381	6.18607633333333	3.115879
ENSTGUG00000000382	0.493189055555556	1.73807613333333
ENSTGUG00000000383	0	3.40836566666667
ENSTGUG00000000384	5.79805711111111	5.26145766666667
ENSTGUG00000000385	2.49295511111111	2.59385366666667
ENSTGUG00000000386	0.328154911111111	0.168678933333333
ENSTGUG00000000387	0.576208533333333	0.671793133333333
ENSTGUG00000000388	4.71551766666667	4.833117
ENSTGUG00000000389	1.26434804444444	2.1946236
ENSTGUG00000000390	1.88608277777778	1.42235
ENSTGUG00000000391	5.48811	2.33832866666667
ENSTGUG00000000392	5.57229788888889	5.10999833333333
ENSTGUG00000000393	0	0.960277033333333
ENSTGUG00000000394	1.00142025555556	0.8716744
ENSTGUG00000000395	9.37826666666667	8.250211
ENSTGUG00000000396	3.29832977777778	2.72833933333333
ENSTGUG00000000397	0.0979793888888889	2.618479
ENSTGUG00000000398	10.9836244444444	5.441364
ENSTGUG00000000399	6.49528311111111	5.98014733333333
ENSTGUG00000000400	6.91083611111111	6.653632
ENSTGUG00000000401	1.89927235555556	0.986551833333333
ENSTGUG00000000402	5.08388877777778	4.17461633333333
ENSTGUG00000000403	5.82533988888889	2.27228166666667
ENSTGUG00000000404	3.82556877777778	3.480597
ENSTGUG00000000405	0.0756844111111111	1.17258333333333
ENSTGUG00000000406	0.0502568222222222	0.486806966666667
ENSTGUG00000000407	5.80255466666667	5.40367433333333
ENSTGUG00000000408	4.55280977777778	3.99075666666667
ENSTGUG00000000409	2.14111577777778	2.655456
ENSTGUG00000000410	0	1.20202933333333
ENSTGUG00000000411	5.44104222222222	3.76165366666667
ENSTGUG00000000412	1.13153141111111	1.0805126
ENSTGUG00000000413	5.89698988888889	6.245828
ENSTGUG00000000414	0.2512134	0.151583333333333
ENSTGUG00000000415	1.13781185555556	1.77169566666667
ENSTGUG00000000416	1.15713542222222	0.9809722
ENSTGUG00000000417	3.64198344444444	3.143811
ENSTGUG00000000418	5.53665511111111	3.77937666666667
ENSTGUG00000000419	2.41545033333333	0.899169566666667
ENSTGUG00000000420	1.44906158888889	2.526931
ENSTGUG00000000421	4.87001777777778	2.789164
ENSTGUG00000000422	0.784039444444444	0.468267066666667
ENSTGUG00000000423	3.16138988888889	3.668209
ENSTGUG00000000424	4.01914633333333	4.91448666666667
ENSTGUG00000000425	0.727115711111111	2.07232033333333
ENSTGUG00000000426	1.61729368888889	1.43247033333333
ENSTGUG00000000427	0	2.355614
ENSTGUG00000000428	2.57638133333333	2.771691
ENSTGUG00000000429	2.52153422222222	0
ENSTGUG00000000430	0.123577428888889	0.435048633333333
ENSTGUG00000000431	7.62553133333333	6.997396
ENSTGUG00000000432	3.75881255555556	1.78380333333333
ENSTGUG00000000433	4.01704511111111	6.39685933333333
ENSTGUG00000000434	3.067846	5.19701033333333
ENSTGUG00000000435	7.84663433333333	5.505762
ENSTGUG00000000436	6.768184	5.042731
ENSTGUG00000000437	2.84437422222222	2.96650233333333
ENSTGUG00000000438	2.56320255555556	1.303607
ENSTGUG00000000439	0.0557838444444444	0.22219787
ENSTGUG00000000440	5.81682922222222	6.47261866666667
ENSTGUG00000000441	2.92120444444444	5.48675833333333
ENSTGUG00000000442	5.95394588888889	9.13979666666667
ENSTGUG00000000443	4.814748	5.359648
ENSTGUG00000000444	0.801524044444444	1.06917166666667
ENSTGUG00000000445	4.39863788888889	5.00942566666667
ENSTGUG00000000446	3.65835222222222	10.1588466666667
ENSTGUG00000000447	0	0
ENSTGUG00000000448	2.05974711111111	0.240927026666667
ENSTGUG00000000449	0	0
ENSTGUG00000000451	1.3580984	11.8925
ENSTGUG00000000452	0.0552531377777778	0.0978038733333333
ENSTGUG00000000453	2.398599	2.74241266666667
ENSTGUG00000000454	7.86490144444444	6.27558666666667
ENSTGUG00000000455	0.0300656166666667	0.0632316866666667
ENSTGUG00000000456	0	1.20084666666667
ENSTGUG00000000458	2.27063944444444	0.816278733333333
ENSTGUG00000000459	0.803524255555556	2.81993233333333
ENSTGUG00000000460	5.380151	6.462653
ENSTGUG00000000461	8.822628	7.30647233333333
ENSTGUG00000000462	1.33247173333333	0.134441586666667
ENSTGUG00000000463	3.85339244444444	6.969037
ENSTGUG00000000464	0.102394967777778	1.29384396666667
ENSTGUG00000000465	1.04987538888889	0.3111965
ENSTGUG00000000467	1.53922745555556	0.5619865
ENSTGUG00000000468	4.52492411111111	6.57405966666667
ENSTGUG00000000469	4.39230211111111	6.11605966666667
ENSTGUG00000000470	0.471045577777778	2.76725966666667
ENSTGUG00000000471	2.98456311111111	3.77532366666667
ENSTGUG00000000472	3.58286488888889	3.02332833333333
ENSTGUG00000000473	0.187836955555556	1.49994633333333
ENSTGUG00000000474	4.05007466666667	3.479891
ENSTGUG00000000475	0.678253866666667	0
ENSTGUG00000000476	0.0941876033333333	0.13952532
ENSTGUG00000000477	3.46337377777778	1.0268105
ENSTGUG00000000478	2.01048588888889	0.0354019533333333
ENSTGUG00000000479	3.25933244444444	3.393748
ENSTGUG00000000480	5.71070766666667	3.00721366666667
ENSTGUG00000000481	0.749400322222222	0.5069102
ENSTGUG00000000482	7.35986411111111	5.59202966666667
ENSTGUG00000000483	3.874161	4.94833666666667
ENSTGUG00000000484	5.354135	3.21597633333333
ENSTGUG00000000485	1.77958766666667	7.03429833333333
ENSTGUG00000000486	6.99368088888889	6.57391933333333
ENSTGUG00000000487	2.33710666666667	7.621178
ENSTGUG00000000488	0.5619225	0
ENSTGUG00000000489	5.37772366666667	4.18471366666667
ENSTGUG00000000490	7.012394	0.890657433333333
ENSTGUG00000000491	11.4805766666667	10.1667166666667
ENSTGUG00000000492	0.133302233333333	3.720352
ENSTGUG00000000493	1.29470056666667	4.89923233333333
ENSTGUG00000000494	6.159519	7.01862366666667
ENSTGUG00000000495	4.34784555555556	5.874556
ENSTGUG00000000496	3.84531822222222	1.50986433333333
ENSTGUG00000000497	4.66436722222222	2.83632733333333
ENSTGUG00000000498	0.252941277777778	0.0777185
ENSTGUG00000000499	0.239529444444444	1.686358
ENSTGUG00000000500	4.58387911111111	3.05837566666667
ENSTGUG00000000501	1.57932444444444	6.34916933333333
ENSTGUG00000000502	6.03781644444444	5.575345
ENSTGUG00000000503	0.0226526555555556	0.502935933333333
ENSTGUG00000000504	1.69276747777778	1.692245
ENSTGUG00000000505	4.24738277777778	2.427022
ENSTGUG00000000506	0.170470944444444	1.35823
ENSTGUG00000000507	0	0
ENSTGUG00000000508	3.69745988888889	8.30467033333333
ENSTGUG00000000509	7.56110944444444	8.57977766666667
ENSTGUG00000000510	4.37737855555556	6.15915166666667
ENSTGUG00000000511	0.0215999777777778	0.365045333333333
ENSTGUG00000000512	10.3186633333333	1.697972
ENSTGUG00000000513	1.03765514444444	2.253614
ENSTGUG00000000514	6.127747	2.43330433333333
ENSTGUG00000000515	4.34435577777778	2.88365066666667
ENSTGUG00000000516	5.616886	0.386163366666667
ENSTGUG00000000517	1.251787	4.30161933333333
ENSTGUG00000000518	0.316802777777778	1.76643533333333
ENSTGUG00000000519	3.50036288888889	6.51617166666667
ENSTGUG00000000520	5.55375433333333	5.77272466666667
