brain	kidney	liver
ENSEEUG00000000474	7.3455025	6.6303445	5.9526535
ENSEEUG00000000475	2.297954	1.508963	2.4159585
ENSEEUG00000000476	5.208325	3.1982215	2.1501855
ENSEEUG00000000477	0	0	0
ENSEEUG00000000478	0	0	0
ENSEEUG00000000479	4.6311	3.8799115	3.456442
ENSEEUG00000000480	4.3979715	4.1109685	2.9058855
ENSEEUG00000000481	3.7034965	4.221991	2.274447
ENSEEUG00000000482	2.439703	0	0
ENSEEUG00000000483	4.51158	0.22460585	0.17850515
ENSEEUG00000000484	0	0	0
ENSEEUG00000000485	3.453575	1.47111	2.4590605
ENSEEUG00000000486	4.943119	3.916533	2.506396
ENSEEUG00000000487	2.6177715	2.992935	0.83311305
ENSEEUG00000000488	0.1759159	0	0
ENSEEUG00000000489	2.631503	1.2175475	0.62375705
ENSEEUG00000000490	1.568116	3.5423425	0.1947752
ENSEEUG00000000491	4.8221485	4.1096455	1.6431955
ENSEEUG00000000492	1.4956625	0.34676895	0
ENSEEUG00000000493	0	0	0
ENSEEUG00000000494	5.2662255	5.008722	3.638953
ENSEEUG00000000495	0.2629247	0	0
ENSEEUG00000000496	2.315573	7.424204	5.5135025
ENSEEUG00000000497	7.023263	1.6773175	0.14083045
ENSEEUG00000000498	8.25453	7.2269215	5.642193
ENSEEUG00000000499	0	1.5502155	1.0266741
ENSEEUG00000000500	8.4223575	1.3947165	5.207552
ENSEEUG00000000501	2.3192655	1.201055	0.564268
ENSEEUG00000000502	0	0	0
ENSEEUG00000000503	0.11945635	0	0.04183911
ENSEEUG00000000504	5.694383	3.01644	3.201689
ENSEEUG00000000505	0.61095085	5.6295785	0
ENSEEUG00000000506	6.6758465	0.142613385	0.03118052
ENSEEUG00000000507	5.089691	4.479359	2.988421
ENSEEUG00000000508	4.8320275	4.6086845	3.706142
ENSEEUG00000000509	3.267978	5.1773495	3.889461
ENSEEUG00000000510	5.1368075	4.5174575	2.9282015
ENSEEUG00000000511	0	0	0
ENSEEUG00000000512	0	0	0
ENSEEUG00000000513	0	0	0
ENSEEUG00000000514	2.948331	1.7637025	0.9638329
ENSEEUG00000000515	3.279084	4.6142895	4.67694
ENSEEUG00000000516	5.812295	5.13381	4.5149295
ENSEEUG00000000517	2.058957	1.740672	0.52332085
ENSEEUG00000000518	0.4778774	0.87338615	2.3506125
