brain	heart	kidney	liver	testis
ENSMFAG00000000263	4.7610545	4.702658	4.118973	3.6507526	3.952445
ENSMFAG00000000264	2.915039	4.29519	4.654973	3.3650998	6.682808
ENSMFAG00000000265	1.40514625	0.4799527	0.57930944	0.06275635	8.052985
ENSMFAG00000000266	0.7186802	3.5311055	1.05439776	0.15919344	2.492704
ENSMFAG00000000267	1.482528	3.3252675	4.2938782	3.099477	4.197595
ENSMFAG00000000268	0	0	0.06135838	0.22510672	0.2346767
ENSMFAG00000000269	3.5375855	3.9196695	4.417973	2.5556736	3.060566
ENSMFAG00000000270	0.04351685	0.2264171	0.4223181	0.12077692	0.7947552
ENSMFAG00000000271	3.314893	3.243894	4.0830812	1.9691342	4.206242
ENSMFAG00000000272	0	0.34899835	0.27755342	0	0.3710715
ENSMFAG00000000273	4.2509115	5.263416	6.5241202	4.237123	5.510309
ENSMFAG00000000274	2.89553	5.7005675	6.0015466	5.2938416	4.163645
ENSMFAG00000000275	4.300812	7.2327135	7.6435634	6.202024	5.496572
ENSMFAG00000000276	1.74558	1.235889	1.63235112	0.84691318	0.9474747
ENSMFAG00000000277	0.4730813	2.358552	2.63255334	1.62741206	0.6603911
ENSMFAG00000000278	3.060624	2.3467255	2.9888138	1.8891412	3.70747
ENSMFAG00000000279	7.8326005	2.9370655	3.5276032	2.1900288	7.041626
ENSMFAG00000000280	3.366291	2.98834	4.5928012	4.0281782	4.859562
ENSMFAG00000000281	1.9679165	3.759715	4.6425308	1.94341182	3.055378
ENSMFAG00000000282	6.613654	0.1218179	0.25472708	0.04816553	1.896318
ENSMFAG00000000283	3.9798685	3.961297	3.8802914	2.1963208	5.301942
ENSMFAG00000000284	0.20221165	0.7842839	0.64024006	0.1229235	6.036262
ENSMFAG00000000285	3.9152605	3.653906	3.485477	2.360484	3.368819
ENSMFAG00000000286	2.502936	3.815453	3.9509948	1.97844738	3.243425
ENSMFAG00000000287	6.159495	0.32463745	1.6603721	0.2036804	0.5168492
ENSMFAG00000000288	0	0.34588855	0.46000438	0.14164868	0
ENSMFAG00000000289	3.7759965	4.318457	4.8488242	3.4292038	5.77889
ENSMFAG00000000290	4.7636645	2.2054375	4.291131	4.5649282	1.842312
