brain	heart	kidney	liver	ovary
ENSSBOG00000002097	3.633548621	2.629915	4.957051	3.513619597	6.21563065
ENSSBOG00000002098	3.736312627	2.864531	3.910061	3.214841311	4.03606369
ENSSBOG00000002107	5.493391055	2.844581	5.456301	2.358219065	6.67471854
ENSSBOG00000002112	3.437011159	0.9987761	3.580688	2.82017549	6.58000145
ENSSBOG00000002113	2.56124792	1.361465	1.327457	0.463443861	3.2535809
ENSSBOG00000002114	4.635609302	2.413572	4.289713	2.145755701	5.03382822
ENSSBOG00000002115	2.140078403	0.6190214	2.659463	1.166342674	2.83397289
ENSSBOG00000002131	7.504668773	6.118806	6.883937	6.489076605	6.94012833
ENSSBOG00000002139	2.686316747	1.259875	2.479005	1.419646753	3.19953258
ENSSBOG00000002152	4.555929996	2.335106	4.597824	2.938521046	4.58732058
ENSSBOG00000002153	2.743275828	1.641195	2.67974	1.647494116	3.63253462
ENSSBOG00000002165	0	0	0	0	0
ENSSBOG00000002182	4.748090314	2.438365	4.183641	3.313874173	5.08366015
ENSSBOG00000002240	0.131717616	1.064648	1.305585	1.102463296	1.69197182
ENSSBOG00000002265	0.145407475	0.2574403	0	0.101150895	0.21908486
ENSSBOG00000002291	5.757967305	3.128769	3.171902	4.359377091	3.70217656
ENSSBOG00000002300	3.528194969	1.596926	4.202577	2.902741214	3.63119161
ENSSBOG00000002303	7.259178313	6.732866	7.606257	6.902953885	9.17094405
ENSSBOG00000002328	0	0	0	6.170303659	0
ENSSBOG00000002350	0.111092492	0	0.2458145	0.282234581	0.06136631
ENSSBOG00000002356	6.002387487	1.174368	0.4761494	0.084323927	0.68204017
ENSSBOG00000002357	3.281172999	3.437854	3.333522	2.698705222	3.91078062
ENSSBOG00000002358	1.412644017	2.134808	4.300854	0.357758049	2.49452083
ENSSBOG00000002359	1.675770776	0.5518408	5.953892	9.738589515	1.83493729
ENSSBOG00000002360	0.219692056	0.05158607	0.1069553	0	0.07025838
ENSSBOG00000002363	1.460071509	0.7959689	2.185391	0.77606355	3.51923995
ENSSBOG00000002379	8.638851104	9.952674	8.600682	7.703900806	8.15363259
ENSSBOG00000002380	0	0	0	0	0
ENSSBOG00000002398	7.477790641	6.912758	6.116968	5.688096413	7.04585793
ENSSBOG00000002416	0.544446808	0	0	0	0
ENSSBOG00000002417	1.351650942	0.7076644	1.495557	0.882837091	1.88792683
ENSSBOG00000002418	3.365615558	1.084418	2.750373	2.325864164	2.6250156
ENSSBOG00000002434	4.767187489	3.460238	4.115744	2.832422201	4.54249084
ENSSBOG00000002435	2.318432542	1.118991	2.347132	1.460794977	2.6218362
ENSSBOG00000002436	1.560294311	0	1.321004	0	1.5939943
ENSSBOG00000002449	2.402064793	2.921401	5.15704	4.835530007	6.0254211
ENSSBOG00000002450	4.290092593	1.648056	2.603915	1.356746686	3.85335697
ENSSBOG00000002460	2.639118688	1.395288	7.0077	6.476159206	2.71209389
ENSSBOG00000002463	0.802418239	0	0.252498	6.590142384	0.64219047
ENSSBOG00000002465	4.72325055	2.500824	3.48458	2.57536873	4.07344855
ENSSBOG00000002478	5.815818761	6.261884	6.794624	4.698979638	8.47907693
ENSSBOG00000002479	0	0	0	0	0
ENSSBOG00000002491	0	0	0	0	0
ENSSBOG00000002492	0	0	0	0	0
ENSSBOG00000002508	0.27757657	0.450307	1.013319	1.138873433	2.46668193
ENSSBOG00000002509	0.470045341	0.03482183	1.512738	0.524223186	2.20085899
