brain	heart	kidney	liver	testis
MGP_CAROLIEiJ_G0009002	0	0	0	0.0365818833333333	3.115451
MGP_CAROLIEiJ_G0009003	0	0	0	0	0
MGP_CAROLIEiJ_G0009004	0.5908345	0	0	0	0.9943849
MGP_CAROLIEiJ_G0009005	0	0	0	0	0
MGP_CAROLIEiJ_G0009006	0	0	0	0.117489133333333	0.3315057
MGP_CAROLIEiJ_G0009007	0	0	0	0	0
MGP_CAROLIEiJ_G0009008	0	0	0	0	0
MGP_CAROLIEiJ_G0009009	0	0	0	0	0
MGP_CAROLIEiJ_G0009010	0	0	0	0.06660345	0.4386836
MGP_CAROLIEiJ_G0009011	0	0	0	0	0
MGP_CAROLIEiJ_G0009012	0.130211	0.1180234	0	0.13147295	0
MGP_CAROLIEiJ_G0009013	0	0	0	0	0
MGP_CAROLIEiJ_G0009014	0	0	0	0	0
MGP_CAROLIEiJ_G0009015	0	0	0	0	0
MGP_CAROLIEiJ_G0009016	0	0	0.14460445	0	0.0386164
MGP_CAROLIEiJ_G0009017	0	0	1.3188719	0.377779183333333	0
MGP_CAROLIEiJ_G0009018	0	0	0	0	0.3421462
MGP_CAROLIEiJ_G0009019	0.53077885	0.1150923	0.20073935	0.0701677	0
MGP_CAROLIEiJ_G0009020	0	0	0	0	0
MGP_CAROLIEiJ_G0009021	0	0	0	0	0.6906227
MGP_CAROLIEiJ_G0009022	0	0	0	0	0
MGP_CAROLIEiJ_G0009023	0	0	0	0	0
MGP_CAROLIEiJ_G0009024	1.426416	0.1231633	0	0	0
MGP_CAROLIEiJ_G0009025	0	0	0	0.0411415833333333	0
MGP_CAROLIEiJ_G0009026	0	0	0	0	0
MGP_CAROLIEiJ_G0009027	0.2367771	0	0	0	0
MGP_CAROLIEiJ_G0009028	0	0	0	0	0
MGP_CAROLIEiJ_G0009029	0	0	0	0	0
MGP_CAROLIEiJ_G0009030	1.3135485	0	0	0	0
MGP_CAROLIEiJ_G0009031	0	0	0	0	0
MGP_CAROLIEiJ_G0009032	0	0	0	0.178437366666667	0
MGP_CAROLIEiJ_G0009033	0	0	0	0	0
MGP_CAROLIEiJ_G0009034	0	0	0	0	0.09066675
MGP_CAROLIEiJ_G0009035	0.42607575	0.3844775	0	0.382284966666667	0
MGP_CAROLIEiJ_G0009036	0	0	0	0	0
MGP_CAROLIEiJ_G0009037	0	0	0	0.0858121	0
MGP_CAROLIEiJ_G0009038	0	0.47805065	0	0	0
MGP_CAROLIEiJ_G0009039	0	0	0	0	0
MGP_CAROLIEiJ_G0009040	0	0.8076705	0	0	0
MGP_CAROLIEiJ_G0009041	0.3897984	0	0	0	0.4602739
MGP_CAROLIEiJ_G0009042	3.109474	3.112961	1.634521	1.24634733333333	2.617346
MGP_CAROLIEiJ_G0009043	0	0	0	0	0
MGP_CAROLIEiJ_G0009044	0	0	0	0	0.363198
MGP_CAROLIEiJ_G0009045	2.460124	3.600867	2.4114295	1.74876333333333	1.552952
MGP_CAROLIEiJ_G0009046	0	0	0	0	0
MGP_CAROLIEiJ_G0009047	0	0	0	0.0227418	0
MGP_CAROLIEiJ_G0009048	0	0	0	0	0
MGP_CAROLIEiJ_G0009049	0	0	0	0	0
MGP_CAROLIEiJ_G0009050	0	0	0	0	0
MGP_CAROLIEiJ_G0009051	0	0	0.24115515	0.0551336	0.3444161
MGP_CAROLIEiJ_G0009052	0	0.551977	1.235557	0.1539347	0
MGP_CAROLIEiJ_G0009053	0.02583602	0.01028054	0	0	0.13929
